ALL SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ENGLAND SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDWEST SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANADA SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUROPE SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, Chairlift-Served U.S.
Ski Areas Without National Pass
Affiliation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mammoth,"3,100 ","3,500",357,Alterra ,Ikon,,,2,,,,4,,8,1,6,,3,,,,,1,,2,27,,,U,UB,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,,Spring Mountain,420 ,45,27,Independent,Indy,,,,,,,,,,,1,,3,,,,,,1,1,6,,,,,,2,,2026,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mountain  High: West,"1,000 ",145,117,California Mountain Resort Company,Indy,,,,,,,,,1,,3,,2,,,,,,,2,8,,,,,,2SB,,2022,U.S. - West,Public w/Aerial Lifts,,,Tussey,500 ,38,41,Independent,Indy,,,,,,,,,,1,,,1,,,1,,,,,3,,,,,,2B,,2022,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mountain High: East,"1,600 ",145,117,California Mountain Resort Company,Indy,,,,,,,,,1,1,,,2,,,,,,,1,5,,,,,,2SB,,2022,U.S. - West,Public w/Aerial Lifts,,,Whitetail,935 ,109,40,Vail Resorts,Epic,,,,,,,,,1,3,,,1,,,,,,,2,7,U,U,,,,,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mt. Shasta,"2,036 ",635,157,Independent,Indy,,,,,,,,,,1,3,,,,,,,,,2,6,,,,,,2B,,2019,U.S. - West,Public w/Aerial Lifts,,U.S. - South Dakota,Great Bear,182 ,21,41,Independent,Indy,,,,,,,,,,1,,,,,,,,,1,1,3,,,,,,2,,2023,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northstar,"2,280 ","3,170",350,Vail Resorts,Epic,,,1,1,,,1,1,6,1,2,,,,,,,1,1,5,20,U,UB,,,,,,2010,U.S. - West,Public w/Aerial Lifts,,,Terry Peak,"1,200 ",450,150,Independent,Indy,,,,,,,,,3,,1,,,,,,,,,1,5,,,,,,2B,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palisades Tahoe: Alpine Meadows,"1,802 ","2,400",364,Alterra ,Ikon,,,,,,,1,,3,,2,,5,,,,,,,2,13,,,U,UB,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,U.S. - Tennessee,Ober Mountain,526 ,38,35,Independent,Indy,1,,,,,,,,,3,,,,,,,,,,2,6,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palisades Tahoe: Olympic ,"2,850 ","3,600",364,Alterra ,Ikon,1,,2,,,,7,,2,1,8,,3,,,,,,,7,31,,,U,UB,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,U.S. - Utah,Alta,"2,538 ","2,614",526,Independent,"Ikon, MC",,,,,,,1,,3,1,1,,1,,,,,1,1,2,11,,,7S,,,,2,"2012, 2018",U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sierra-at-Tahoe,"2,212 ","2,000",401,Independent,Ikon,,,,,,,,,3,,1,,5,,,,,,,5,14,,,7,5B,"1-4, B, S",,,2024,U.S. - West,Public w/Aerial Lifts,,,Beaver Mountain,"1,700 ",880,300,Independent,Indy,,,,,,,,,,,3,,1,,,,,,,2,6,,,,,,2B,,2019,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Snow Summit (Big Bear),"1,200 ",240,114,Alterra ,Ikon,,,,,,,,,2,2,2,,4,,,,,,,5,15,,,U,U,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,,Brian Head,"1,320 ",650,301,Mountain Capital Partners,Power,,,,,,,,,2,,5,,1,,,,,,,2,10,,,,,,,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Snow Valley,"1,041 ",240,150,Alterra ,Ikon,,,,,,,1,,,,4,,4,,,,,,,2,11,,,U,U,"1-4, B, S",,,2023,U.S. - West,Public w/Aerial Lifts,,,Brighton,"1,745 ","1,050",502,Boyne Resorts,Ikon,,,,,,,1,,3,1,1,,,,,,,,,2,8,,,7,5B,"1-4, B, S",,,2018,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sugar Bowl,"1,500 ","1,650",429,Independent,MC,,,1,,,,,,5,3,1,,,,,,,1,,1,12,,,,,,,2,2022,U.S. - West,Public w/Aerial Lifts,,,Cherry Peak,"1,275 ",400,300,Independent,Indy,,,,,,,,,,,3,,,,,,,,,1,4,,,,,,Discount,,2022,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. - Colorado,Arapahoe Basin,"1,698 ","1,428",350,Alterra ,Ikon,,,,,,,1,,1,3,,,1,,,,,,1,2,9,,,U,U,"1-4, B, S",,,2019,U.S. - West,Public w/Aerial Lifts,,,Deer Valley,"3,040 ","4,500",294,Alterra ,Ikon,,,2,,,,2,,21,1,5,,1,,,,,1,,8,41,,,7,,,,,2018,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aspen Highlands,"3,635 ","1,010",260,Aspen Skiing Company,"Ikon, MC",,,,,,,,,3,,2,,1,,,,,,,,6,,,7S,,,,2S,"2012, 2018",U.S. - West,Public w/Aerial Lifts,,,Eagle Point,"1,500 ",650,350,Independent,Indy,,,,,,,,,,1,1,,2,,,,,1,,,5,,,,,,2,,2021,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aspen Mountain,"3,317 ",826,248,Aspen Skiing Company,"Ikon, MC",,,1,,,,,,3,,,1,1,,,,,,,,6,,,7S,,,,2S,"2012, 2018",U.S. - West,Public w/Aerial Lifts,,,Nordic Valley,"1,695 ",500,275,Mountain Capital Partners,Power,,,,,,,1,,,,1,,2,,,,,,,1,5,,,,,,,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beaver Creek,"3,340 ","2,082",323,Vail Resorts,Epic,,,2,,,,,1,12,1,1,,1,,,,,,,7,25,U,10SB,,,,,,2008,U.S. - West,Public w/Aerial Lifts,,,Park City,"3,226 ","7,300",355,Vail Resorts,Epic,,,3,1,1,,6,,10,5,7,,3,,,,,,2,3,41,U,UB,,,,,,2013,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Breckenridge,"3,240 ","2,908",355,Vail Resorts,Epic,,,1,,,,5,,8,1,1,,4,,,1,,3,,11,35,U,U,,,,,,2008,U.S. - West,Public w/Aerial Lifts,,,Snowbasin,"3,002 ","3,000",324,Holding Family,"Ikon, MC",1,,2,,,,3,,3,,1,,,,,,,,1,2,13,,,7,,,,2,2022,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buttermilk,"2,030 ",435,200,Aspen Skiing Company,"Ikon, MC",,,,,,,,,3,,,,1,,,,,,1,1,6,,,7S,,,,2S,"2012, 2018",U.S. - West,Public w/Aerial Lifts,,,Snowbird,"3,240 ","2,500",498,Powdr,"Ikon, MC",1,,,,,,,,6,2,,,2,,,,,,,3,14,,,7S,5B,,,2,"2013, 2018",U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copper Mountain,"2,729 ","2,538",278,Powdr,Ikon,,,,,,,3,1,3,,5,,4,,,1,,2,1,5,25,,,U,U,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,,Solitude,"2,041 ","1,200",438,Alterra ,Ikon,,,,,,,1,,3,2,1,,1,,,,,,,1,9,,,U,U,"1-4, B, S",,,2018,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crested Butte,"2,502 ","1,547",236,Vail Resorts,Epic,,,,,,,,,4,3,3,,,,,2,,,,3,15,U,U,,,,,,2018,U.S. - West,Public w/Aerial Lifts,,,Sundance,"2,150 ",520,275,Independent,Power,,,,,,,,,2,4,1,,,,,,,,,3,10,,,,,,,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuchara,266 ,43,200,Independent,Indy,,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,,2025,U.S. - West,Public w/Aerial Lifts,,U.S. - Vermont,Bolton Valley,"1,704 ",300,312,Independent,Indy,,,,,,,,,,2,,,3,,,,,,1,,6,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Echo Mountain,600 ,60,150,Independent,Indy,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,2,,2022,U.S. - West,Public w/Aerial Lifts,,,Burke,"2,057 ",270,217,Bear Den Partners,Indy,,,,,,,,,2,,,,,,,1,1,,,1,5,,,,,,2,,2025,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eldora,"1,400 ",680,225,Independent,Ikon,,,,,,,1,,,2,1,,3,,,,,1,1,1,10,,,U,U,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,,Jay Peak,"2,112 ",485,349,Pacific Group Resorts,Indy,1,,,,,,,,1,3,1,,1,,,,,,,2,9,,,,,,2,,2020,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Granby Ranch,"1,000 ",406,200,Independent,Indy,,,,,,,,,1,1,1,,1,,,,,,,2,6,,,,,,2B,,2022,U.S. - West,Public w/Aerial Lifts,,,Killington,"2,977 ","1,509",230,Phill Gross,Ikon,,,2,,,,2,,4,6,1,,1,,,,,1,,3,20,,,7S,5SB,"1-4, B, S",,,2018,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoedown Hill,130 ,12,24,Independent,Indy,,,,,,,,,,,,,,,,,,,,4,4,,,,,,2,,2024,U.S. - West,Public - Surface Lifts Only,,,Magic Mountain,"1,500 ",405,130,Independent,Indy,,,,,,,,,,1,,,2,,,,,,1,1,5,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Howelsen Hill,440 ,50,170,Independent,Indy,,,,,,,,,,,1,,,,,,,1,,2,4,,,,,,2,,2023,U.S. - West,Public w/Aerial Lifts,,,Middlebury Snowbowl,920 ,200,200,Independent,Indy,,,,,,,,,,1,2,,,,,,,,,1,4,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kendall Mountain,283 ,16,200,Independent,Indy,,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,,2026,U.S. - West,Public w/Aerial Lifts,,,Mount Snow,"1,700 ",601,150,Vail Resorts,Epic,,,,,,,2,,4,,5,,2,,,,,,1,5,19,U,U,,,,,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keystone,"2,920 ","3,149",235,Vail Resorts,Epic,,,2,,,,4,,3,1,1,,2,,,,,,,7,20,U,U,,,,,,2008,U.S. - West,Public w/Aerial Lifts,,,Okemo,"2,200 ",667,120,Vail Resorts,Epic,,,,,,,2,,4,5,2,,,,,,,1,,6,20,U,U,,,,,,2018,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loveland Basin,"1,890 ","1,800",337,Independent,"Indy, Power",,,,,,,,,1,2,4,,,,,,,,,,7,,,,,,2S,,2024,U.S. - West,Public w/Aerial Lifts,,,Pico,"1,967 ",468,230,Phill Gross,Ikon,,,,,,,,,2,,2,,,,,,,,1,2,7,,,7S,5SB,"1-4, B, S",,,2018,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loveland Valley,810 ,,,Independent,"Indy, Power",,,,,,,,,,2,,,,,,,,,,2,4,,,,,,2S,,2024,U.S. - West,Public w/Aerial Lifts,,,Saskadena Six,650 ,100,90,Independent,Indy,,,,,,,,,,1,,,1,,,,,,,1,3,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monarch,"1,097 ","1,017",308,Independent,"Snow Pass, Power",,,,,,,,,,1,1,,4,,,,,,,2,8,,,,,,,,2026,U.S. - West,Public w/Aerial Lifts,,,Smugglers' Notch,"2,610 ","1,060",322,Bear Den Partners,Indy,,,,,,,,,,,,,6,,,1,,,,2,9,,,,,,2,,2026,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Powderhorn,"1,650 ","1,600",225,Pacific Group Resorts,Indy,,,,,,,,,2,,,,1,,,,,,,2,5,,,,,,2,,2024,U.S. - West,Public w/Aerial Lifts,,,Stowe,"2,360 ",485,314,Vail Resorts,Epic,,,2,,,,1,,3,1,1,,2,,,,,,,2,12,U,UB,,,,,,2017,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purgatory,"2,072 ","1,635",261,Mountain Capital Partners,Power,,,,,,,1,,2,,4,,3,,,,,,,2,12,,,,,,,,,U.S. - West,Public w/Aerial Lifts,,,Stratton,"2,003 ",670,180,Alterra ,Ikon,,,1,,,,4,,1,2,1,,1,,,,,,,4,14,,,U,UB,"1-4, B, S",,,2018,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Snowmass,"4,400 ","3,342",301,Aspen Skiing Company,"Ikon, MC",,,1,1,,,3,,6,2,,,1,,,1,,3,,2,20,,,7S,"5, B",,,2S,"2012, 2018",U.S. - West,Public w/Aerial Lifts,,,Sugarbush,"2,600 ",581,267,Alterra ,Ikon,,,,,,,,,5,6,1,,1,,,1,,,,3,17,,,U,UB,"1-4, B, S",,,2018,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
